Year,Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
2022-2023,Max Comtois,ANA,L,64,794.65,9,8,5,3,17,56.67,77,11.69,7.33,119,102,76,42,5,5,76,20,13,4,3,20,34,11,80,76,25,23,15,60.53
2022-2023,Brock McGinn,"ANA, PIT",L,75,791.35,9,5,2,3,14,60.87,73,12.33,7.67,131,106,76,35,2,11,17,7,6,1,0,17,16,17,80,69,28,2,4,33.33
2022-2023,Bowen Byram,COL,D,42,790.5666667,5,8,6,2,13,39.39,49,10.2,3.78,114,76,44,10,2,8,32,13,11,2,0,8,16,12,77,108,37,0,0,-
2022-2023,Morgan Barron,WPG,C,70,790,6,9,5,4,15,62.5,100,6,12.73,169,137,112,59,7,16,31,13,12,1,0,10,13,16,114,90,29,12,12,50
2022-2023,Jordan Oesterle,DET,D,52,788.8333333,2,9,3,6,11,44,54,3.7,2.73,104,75,35,4,1,7,19,8,7,1,0,6,18,4,41,58,62,0,0,-
2022-2023,Taylor Hall,BOS,L,61,788.6333333,9,16,10,6,25,65.79,114,7.89,11,198,151,125,58,12,19,22,11,11,0,0,17,34,24,30,105,26,2,3,40
2022-2023,Jacob Bryson,BUF,D,59,786.3166667,1,6,3,3,7,28,27,3.7,1.04,57,40,13,0,0,4,8,4,4,0,0,3,7,12,34,90,48,0,0,-
2022-2023,Christian Dvorak,MTL,C,64,780.8,6,13,3,10,19,76,60,10,6.34,102,79,66,30,2,5,6,3,3,0,0,6,22,17,10,40,41,352,319,52.46
2022-2023,Warren Foegele,EDM,L,67,776.0166667,12,15,10,5,27,77.14,121,9.92,15.02,215,175,141,80,8,18,26,13,13,0,0,16,25,47,92,73,13,7,6,53.85
2022-2023,Josh Bailey,NYI,R,64,774.1833333,8,13,8,5,21,60,63,12.7,7.2,97,79,71,30,7,13,2,1,1,0,0,3,39,17,11,24,24,34,48,41.46
2022-2023,Michael Amadio,VGK,"C, R",67,774.0666667,15,10,8,2,25,64.1,92,16.3,9.68,139,119,92,52,8,19,12,6,6,0,0,6,11,35,56,91,26,30,32,48.39
2022-2023,Derek Ryan,EDM,C,80,774.0333333,11,6,3,3,17,54.84,84,13.1,9.86,138,112,97,62,8,17,22,11,11,0,0,8,14,30,51,93,33,173,162,51.64
2022-2023,Jonatan Berggren,DET,R,67,773.1,9,9,5,4,18,64.29,82,10.98,6.99,129,110,73,32,5,8,14,7,7,0,0,6,23,14,20,62,23,2,3,40
